Use Case ID,BIAS_Ranking,COMPLEXITY_Ranking,EXPENSIVENESS_Ranking,EXPLAINABLE_Ranking,SAFE_Ranking,TRUSTWORTHY_Ranking,EFFECTIVENESS_Ranking,Use Case Name,gpt-4-turbo-preview_summaries
DHS-31,15,11,11,11,11,14,38,AI Curated Synthetic Data,"AI Curated Synthetic Data generates synthetic data for computer vision, improving AI's ability to ethically detect anomalies in complex settings. It specifically produces emulated X-ray sensor images and virtual 3D assets of vehicles and narcotics containers, aiming to boost the development of AI/ML-based anomaly detection algorithms for non-intrusive inspections, focusing on identifying narcotics and contraband in conveyances and cargo."
DHS-32,16,12,12,12,12,15,36,Data and Entity Resolution,"The text describes a system that automates the process of data unification and entity resolution at a large scale and speed using Machine Learning. It ingests data from various sources to identify connections, unique entities, and commonalities among records. Additionally, it features a user-friendly tool that allows non-technical users to continually train the models, enhancing their accuracy and effectiveness."
DHS-343,21,13,13,13,13,56,34,Port of Entry Risk Assessments,"CBP employs AI to enhance real-time risk assessment of trade and travel data, using these insights for decision making. These AI tools are regularly assessed for their accuracy and form a crucial part of CBP's comprehensive risk management strategy."
DHS-344,20,14,14,14,14,57,32,Traveler Verification Service (TVS),"The Traveler Verification Service (TVS) is a biometric system used by U.S. Customs and Border Protection (CBP) for recording arrivals and departures in the United States through Facial Comparison technology. It operates by creating and storing templates of travelers' photos derived from various sources, including previous entries, passports, visas, and other Department of Homeland Security (DHS) encounters. These templates are matched against live images captured at entry or exit points to verify traveler identity. The system aims to enhance security and streamline the process of verifying travelers' identities upon their entry to or departure from the U.S. For further details, refer to the DHS/CBP/PIA-056 Privacy Impact Assessment document for TVS."
DHS-35,17,15,15,15,15,17,30,Autonomous Surveillance Towers (Anduril),"The system autonomously detects, identifies, and tracks items of interest using AI integrated with a tower, requiring no dedicated operator. It is easily deployable, relocatable by 2-3 people within a day, and operates independently of physical infrastructure. The system, powered by solar energy with a battery backup, offers a significant visibility range and features a hybrid command and control accessible from various devices through a government cloud-hosted URL. Its radar and camera work in tandem to autonomously monitor and track objects, alerting users who can monitor the system in near real-time from any device."
DHS-37,18,16,16,16,16,18,28,Automated Item of Interest Detection - ICAD,"The Matroid software, a Video Computer Aided Detection system utilized by CBP, analyzes photographs captured by field imaging equipment. These images, processed through the ICAD system, are reviewed by USBP agents to identify human subjects using proprietary software. Matroid employs trained computer vision models to detect objects, people, and events in real-time or within pre-recorded footage. The system aims to broaden its detection capabilities to include vehicles and individuals carrying long-arm rifles, while ignoring irrelevant objects like animals."
DHS-38,19,17,17,17,17,19,26,Vessel Detection,"Integrated technologies and analytics, enhanced with machine-assisted and AI capabilities, significantly improve maritime detection and the sensor network's efficiency. This advancement facilitates the discernment of illicit vessels amidst legitimate maritime traffic by elevating situational awareness and threat responsiveness. Through setting specific search criteria, agents can utilize AI to automatically recognize and categorize objects detected by sensors into Items of Interest (IoI) and non-relevant objects. IoIs are then shared and tracked across multiple sensors, optimizing the detection system's effectiveness."
DHS-P2,25,18,18,18,18,53,24,AI for Autonomous Situational Awareness,"The AI for autonomous situational awareness system aims to discreetly monitor and track illegal cross-border activities in remote areas using IoT sensor kits. It employs a motion image/video system enhanced with AI for vehicle detection and direction determination, and includes a motion sensor that activates a high-resolution camera for capturing images. These images are analyzed by AI models for object classification, vehicle direction, and re-identification purposes. The system is designed to be low-cost, low-power, and have a minimal footprint while offering covert detection and situational awareness."
DHS-P3,24,19,19,19,19,54,22,Autonomous Maritime Awareness,"The Autonomous Maritime Awareness system employs a combination of surveillance towers, ocean data solutions, unmanned autonomous surface vehicles (ASV), and artificial intelligence (AI) to autonomously detect, identify, and track objects of interest in maritime environments. The surveillance towers offer low-cost, adaptable, and movable monitoring options with radars and day/night cameras. The ASVs, designed for endurance in the open ocean, can operate for up to 12 months using wind, solar, and engine power, and are equipped with cameras and radar. Both the towers and ASVs utilize AI and machine learning to autonomously identify and track items of interest, sending alerts to monitoring agencies for further action."
DHS-103,50,20,20,20,20,38,20,Security Information and Event Management (SIEM) Alerting Models,"Threat hunters and SOC analysts handle terabytes of daily log data, using both manual and automated methods within Security Information and Event Management tools to detect cyber attacks. However, these methods are not exhaustive. Analysts employ automated tools, leveraging aggregated information and expertise, to refine alerts and generate new ones. These tools, based on mathematical and probabilistic models, enable CISA analysts to efficiently identify high fidelity anomalies through automated data analysis."
DHS-104,49,21,21,21,21,39,18,Advanced Analytic Enabled Forensic Investigation,"CISA sends forensic experts to examine cyber incidents within various governmental and critical infrastructure entities, employing AI tools for efficient anomaly detection and threat analysis."
DHS-105,51,22,22,22,22,40,16,Advanced Network Anomaly Alerting,"Threat hunters and SOC analysts process terabytes of daily data from NCPS's Einstein sensors, utilizing both manual and automated methods to identify network attacks. Despite the use of off-the-shelf tooling for detection, these methods aren't exhaustive. Analysts employ advanced automated tools, leveraging mathematical and probabilistic models, to refine and produce high fidelity alerts. This approach enables CISA analysts to efficiently detect anomalies by sifting through massive datasets."
DHS-106,53,23,23,23,23,41,14,Critical Infrastructure Anomaly Alerting,"The Cyber Sentry program, aimed at protecting critical infrastructure networks, employs threat hunting analysts who use advanced anomaly detection and machine learning to analyze multimodal cyber-physical data across IT and OT networks, including ICS/SCADA systems. It incorporates an AI-assisted Critical Infrastructure Anomaly Alerting model to process the data efficiently."
DHS-107,55,24,24,24,24,42,12,Malware Reverse Engineering,"Reverse engineering of malware, essential for CISA's cyber defense, is evolving through Threat Focused Reverse Engineering (TFRE) which uses advanced engineering, formal methods, and deep learning to enhance cyber threat intelligence. The development of scalable, automated tools is crucial for disrupting adversaries' malware operations. TFRE aims to improve targeting of threats, support analysts, and provide sophisticated tools for users by disrupting adversaries' tactics, techniques, and procedures (TTPs), thereby forcing them to allocate more resources to their operations. TFRE encompasses a development pipeline that includes tool hardening, improved computational capabilities, and a better understanding of deployment environments."
DHS-4,28,25,25,25,25,1,10,Automated Indicator Sharing (AIS) Automated PII Detection,"The Automated PII Detection and Human Review Process employs a combination of descriptive, predictive, and prescriptive analytics alongside natural language processing (NLP) for automatically identifying potential personal identifiable information (PII) in AIS submissions. Flagged submissions undergo human review, where analysts, aided by AI, verify and possibly redact PII. Privacy experts oversee and improve the process, ensuring compliance with privacy laws and enhancing the system based on feedback. This approach aims to streamline reviews by reducing false positives and maintaining system integrity through continuous audits, aligning with CISA's privacy and civil liberties mandates."
DHS-40,29,26,26,26,26,20,8,Cyber Threat Intelligence Feed Correlation,"Cyber Threat Intelligence Feed Correlation employs AI to enhance the correlation of various information feeds, facilitating timely enrichment of shared data. AI-driven algorithms improve efficiency by learning from information items and outcomes, and can be customized for continuous monitoring of threat actor tactics, techniques, and procedures (TTPs)."
DHS-41,30,27,27,27,27,21,6,Cyber Incident Reporting,"Cyber incident handling specialists use advanced automation tools, including Machine Learning and Natural Language Processing, to process and filter relevant data from threat intelligence and cyber incident channels. These techniques help in accurately aggregating information for human analysts and decision-makers, including data from CIRCIA-covered entities."
DHS-42,31,28,28,28,28,22,4,Cyber Vulnerability Reporting,"Vulnerability analysts use advanced automation tools, including Machine Learning and Natural Language Processing, to process and aggregate data from various reporting channels. These tools enhance the accuracy and relevance of the information for analysts and decision-makers and facilitate the aggregation and presentation of data, including that from KEV and CVE databases."
DHS-43,32,29,29,29,29,23,2,AI Security and Robustness,"CISA and other federal entities implement frameworks, processes, and AI-focused testing tools to ensure the acquisition, development, deployment, and maintenance of AI technologies are secure, reliable, and trustworthy. These tools, leveraging Machine Learning and Natural Language Processing, enhance AI technology assessment by accelerating data processing."
DHS-44,33,30,30,30,30,24,1,Operational Activities Explorer,"Duty officers and analysts at CISA's Operations Center utilize an AI-powered dashboard to interpret current operational activities. This system combines real-time event data from various sources with historical information on cybersecurity and infrastructure security, as well as past operational responses, to suggest actions and strategies for collaboration with government entities and critical infrastructure stakeholders, focusing on protecting National Critical Functions."
DHS-5,34,31,31,31,31,2,3,AIS Scoring and Feedback,"The AIS Automated Scoring & Feedback (AS&F) system uses descriptive analytics based on organizational intelligence to evaluate and classify indicators of compromise (IOCs) based on their reputation and confidence levels. It checks IOCs against known good lists, sightings, analyst verifications, and other reports within the organization's intelligence to classify them. AIS participants can use this system to triage indicators by their confidence and opinion values, helping to prioritize which IOCs to investigate further based on the alignment or discrepancy between the publisher's and other organizations' assessments."
DHS-346,48,32,32,32,32,58,5,Geospatial Damage Assessments,"After Hurricane Ian, FEMA utilized a machine learning model called Geospatial Damage Assessments to quickly evaluate structural damage. This model, trained on images of past natural disasters, employs computer vision to distinguish between damaged and undamaged buildings in aerial photos. Human analysts then verified the model's classifications of damage severity, with a feedback loop enhancing the model's accuracy over time. The implementation of this tool significantly reduced the volume of structures requiring manual review from over a million to 77,000, drastically cutting down assessment time from weeks to days. This efficiency allowed for faster allocation of resources to those in urgent need."
DHS-45,35,33,33,33,33,25,7,Text Analytics for Survey Responses (TASR),"TASR is an application used by DHS OCHCO to perform NLP and text analytics on quarterly DHS Pulse Surveys, extracting significant topics from open-ended responses. The results help inform DHS Leadership on ways to enhance employee satisfaction and meet basic needs."
DHS-48,36,34,34,34,34,26,9,Email Analytics ,"The Email Analytics application allows users to analyze legally acquired email data, utilizing AI for spam classification and named entity recognition to extract names, organizations, and locations. It also features machine translation through a commercial product."
DHS-49,37,35,35,35,35,27,11,Mobile Device Analytics,"Mobile Device Analytics (MDA) has been developed to assist investigators in analyzing large data volumes from court-sanctioned mobile device extractions, aiming to enhance the identification of relevant evidence, relationships, and criminal networks. It employs machine learning for object detection in multimedia. MDA is a project of the DHS HSI Innovation Lab and the Repository for Analytics in a Virtualized Environment (RAVEn), which supports the analysis of complex data to further ICE's mission in enforcing U.S. laws."
DHS-53,42,36,36,36,36,28,13,Barcode Scanner ,"The Barcode Scanner developed for the RAVEn GO's Encounter Card can scan and input information from MRZ and PDF417 barcodes found on travel documents and US Driver's Licenses into text fields. This innovation is part of a project by the DHS HSI Innovation Lab / RAVEn, which supports ICE's mission through the Repository for Analytics in a Virtualized Environment (RAVEn) by facilitating analytical projects and tools to analyze trends and criminal patterns. Further details can be found in the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn."
DHS-54,43,37,37,37,37,29,15,Facial Recognition Service ,"The Facial Recognition Service is employed by HSI agents and analysts for identifying individuals and extracting faces for investigations, including child exploitation, human rights atrocities, and war crimes, as part of the DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) supports ICE’s mission by enabling large analytical projects and tools for trend analysis and criminal pattern identification. Further details are available in the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn."
DHS-9,14,38,38,38,38,3,17,"Machine Translation
(Previously Language Translator)","Systran offers machine translation for more than 100 language pairs, including notable languages like Chinese, Spanish, Arabic, and others to English. It can process various document types such as text, Word, and PDFs through both a web-based interface and an API endpoint."
DHS-P1,23,39,39,39,39,52,19,Normalization Services,"The Homeland Security Investigations (HSI) utilizes Artificial Intelligence within its Repository for Analytics in a Virtualized Environment (RAVEn) project to enhance data accuracy by verifying, validating, correcting, and normalizing critical information such as addresses, phone numbers, names, and ID numbers. This initiative aims to streamline data correction, detect intentional misidentification, link personal information across datasets, and reduce the time and resources needed for investigations. RAVEn, a part of the DHS HSI Innovation Lab, supports the enforcement and investigation of U.S. laws by facilitating complex analytical projects, analyzing trends, and identifying criminal patterns."
DHS-345,47,40,40,40,40,55,21,Touchless PreCheck Idintity Solution,"The TSA is utilizing Facial Comparison technology through the CBP Traveler Verification Service (TVS) to verify passenger identities at security checkpoints. This technology compares a live facial image of the passenger taken at the checkpoint with a database of photos previously provided by the passenger to the government. While this procedure is standard for travelers entering or exiting the U.S., TSA offers it as an optional, voluntary feature to expedite the PreCheck screening process at certain airports. Additionally, TSA and CBP allow airport and airline partners to use TVS for identity verification at baggage drops and boarding areas, enhancing the speed and security of the verification process. This system allows passengers to opt-out at any time, ensuring the process remains voluntary."
DHS-13,38,41,41,41,41,4,23,Asylum Text Analytics,"USCIS is responsible for lawful immigration to the U.S. and administers the asylum program, as mandated by the Homeland Security Act of 2002. The Asylum Division within RAIO oversees the affirmative asylum program, offering protection to individuals in the U.S. who have suffered or fear future persecution in their country of origin, according to the Immigration and Nationality Act. Individuals not in removal proceedings can apply for asylum regardless of their arrival means or immigration status by submitting Form I-589. USCIS uses machine learning and data graphing to detect plagiarism and fraud in asylum applications by analyzing the narrative sections for common language patterns."
DHS-14,39,42,42,42,42,5,25,Biometrics Enrollment Tool (BET) Fingerprint Maximization,"The USCIS's Customer Profile Management Service (CPMS) is a repository for biometric and biographic information from individuals who have received a USCIS card for immigration benefits. The Biometrics Encounter Tool (BET), in collaboration with the FBI, uses machine learning to predict when fingerprints might be rejected, aiming to improve submission success rates and reduce the need for additional appointments. Although the FBI does not share its fingerprint quality criteria, using a simple model could prevent 98% of rejections, potentially avoiding 42,763 extra appointments in 2020, with an 11% chance of needing fingerprint recapture. The BET team is working on integrating this model to enhance feedback on fingerprint submissions."
DHS-16,40,43,43,43,43,6,27,Evidence Classifier,"The USCIS, under the DHS, manages lawful immigration to the U.S. and uses the USCIS ELIS system, which includes the Evidence Classifier microservice, to track and process immigration requests. Previously, adjudicators had to manually sift through numerous documents to find specific evidence, a time-consuming task. The introduction of a machine learning (ML) solution within USCIS ELIS has significantly improved this process by automatically tagging high-volume evidence types, saving approximately 13,348 hours of review time from September 28, 2021, to May 20, 2022. This enhancement has also nearly doubled the rate of cases adjudicated within 30 days from 30% to 58%."
DHS-17,41,44,44,44,44,7,29,FDNS-DS NexGen,"The USCIS established the Fraud Detection and National Security (FDNS) Directorate to enhance the integrity of the U.S. immigration system, ensuring that individuals who may threaten national security or public safety do not receive immigration benefits. This directorate also focuses on detecting and preventing immigration benefit fraud. In 2005, USCIS introduced the FDNS-DS, a case management system for tracking immigration applications with potential fraud or security concerns. This system was upgraded in June 2023 to FDNS-DS NexGen, which may incorporate AI and machine learning to improve investigative processes, prioritize cases more effectively, and identify fraudulent activities more efficiently. The future integration of AI/ML is expected to significantly expedite case processing and enhance the overall performance of the immigration system."
DHS-20,44,45,45,45,45,8,31,Timeseries Analysis and Forecasting,"USCIS, a component of DHS, manages lawful immigration to the U.S. by processing applications for Lawful Permanent Residents (LPRs), also known as green card holders. Due to a significant increase in green card applications, USCIS employed exploratory data analysis and machine learning to analyze and predict application workloads. Specifically, they used the Autoregressive Integrated Moving Average (ARIMA) model for forecasting the number of I-90 forms, a method that's been in production for over a year and was later improved for better performance and reusability."
DHS-55,45,46,46,46,46,30,33,Person-Centric Identity Services Deduplication Model,"The Person-Centric Identity Services (PCIS) aims to be the definitive source of reliable biographical and biometric data, offering immediate, reciprocal visibility into an individual's extensive immigration history and status through de-duplication and integration of person-centric datasets from various sources. It utilizes machine learning for entity resolution/deduplication, enabling the identification of unique individuals across different records with high accuracy, thus consolidating a complete immigration profile efficiently. The deduplication model is essential for resolving identities and aggregating all related records, enhancing the system's ability to handle inexact matches and variable data completeness."
DHS-56,46,47,47,47,47,31,35,Person-Centric Identity Services A-Number Management Model,"The Person-Centric Identity Services (PCIS) aims to be the leading source for trusted biographical and biometric information, offering real-time, reciprocal visibility into an individual's extensive immigration history and status. The A-Number Management model, which is central to PCIS, processes person-centric data from various sources for training and evaluation, incorporating both biographical (e.g., name, date of birth, Alien #) and biometric (e.g., fingerprints, eye color) information. Utilizing machine learning, the model efficiently identifies records that closely match search criteria, enhancing the accuracy of search results for external partners and maintaining trust in PCIS's entity resolution capabilities. This approach significantly improves the resolution of ambiguous matches and addresses varying data quality issues."
DHS-57,52,48,48,48,48,32,37,Identity Match Option (IMO) Process with DBIS Data Marts,"The Identity Match Option (IMO) is a tool used by USCIS to create a unified identity for each applicant or beneficiary across its various systems, facilitating person-centric research and analytics. By employing standard entity matching algorithms, the IMO integrates disparate person-centric data attributes (such as SSN, Name, DOB) from multiple sources, overcoming data format and quality issues. This process allows for a holistic view of an individual's immigration history, enhances fraud detection, and identifies data quality problems that need fixing."
DHS-58,54,49,49,49,49,33,39,Sentiment Analysis - Surveys,"The Sentiment Analysis - Surveys system uses statistical analysis and Natural Language Processing (NLP) to evaluate survey results, assigning sentiments from strongly positive to strongly negative. This enables survey administrators to extract insights from both quantitative and qualitative data in employee satisfaction surveys. The system is available on demand."
DHS-60,56,50,50,50,50,34,41,Predicted to Naturalize,The Predicted to Naturalize model forecasts the eligibility of Legal Permanent Residents for naturalization and aims to update their current address. This tool could enable the sending of status updates and benefit notifications to USCIS customers.
DHS-61,57,51,51,51,51,35,43,I-485 Family Matching,"I-485 Family Matching aims to use AI to improve the matching of family members to their respective I-485 petitions, which can be challenging due to limited reliable matching fields like the A-number or common addresses. This system seeks to enhance the connection between petitioners and their families by accurately grouping I-485s filed by family members and associated forms, utilizing limited data more efficiently. The goal is to facilitate faster and more accurate processing of petitions by leveraging artificial intelligence to overcome the limitations of current matching methods."
DHS-63,58,52,52,52,52,36,45,Topic Modeling  on Request For Evidence data sets,"Topic Modeling is a technique for automatically organizing, understanding, and summarizing text data by identifying themes within a collection and classifying documents according to these themes."
DHS-64,6,53,53,53,53,37,47,I-539 approval prediction,"This project aims to develop a machine learning model to predict the approval times of I-539 applications through eProcessing, potentially enhancing the eProcessing approval process."
DHS-263,1,54,54,54,54,47,49,Silicon Valley Innovation Program (SVIP) Language Translator,"The U.S. Coast Guard (USCG) requires the ability to communicate effectively with non-English speakers during rescue and investigative missions, emphasizing the need for accurate and quick translation to ensure the safety and security of both their teams and vessel occupants. The Department of Homeland Security’s Science and Technology Silicon Valley Innovation Program (SVIP) initiated a Language Translator solicitation to find new technologies that enable real-time communication with non-English speakers, including those who cannot communicate verbally. This technology must work both online and offline, accommodating the extreme and remote conditions often encountered by the Coast Guard."
DHS-250,2,55,55,55,55,45,51,FEMA OCFO GPT,"FEMA OCFO GPT is a generative AI tool developed to streamline the process of responding to the daily average of fifteen budget-related questions FEMA receives. By generating draft answers for FEMA employees to review and validate, this solution aims to enhance response quality and reduce the time and resources currently devoted to this task."
DHS-206,3,56,56,56,56,44,53,Semantic Search and Summarization,"The HSI Semantic Search and Summarization project aims to improve investigative processes through a LLM-based system that enhances summary efficiency and accuracy. This system will utilize open-source technologies to expedite the summarization and contextual search within investigative reports. It is expected to boost the detection of fentanyl networks, assist in identifying individuals involved in child exploitation, and reveal important patterns and trends to support HSI's critical missions."
DHS-254,4,57,57,57,57,46,55,Planning Assistant for Resilient Communities (PARC),"The Generative AI solution ""PARC"" aims to streamline the hazard mitigation planning process for local governments, especially underserved communities, by aiding in the creation of comprehensive plans. It will help State, Local, Tribal, and Territorial (SLTT) governments understand risk identification and mitigation strategies, generating customizable draft plans from public sources. This initiative could enhance communities' capability to apply for grants, promoting resilience and reducing disaster risks."
DHS-366,7,58,58,58,58,48,57,Large Language Models for an Officer Training Tool,"The Officer Training tool, leveraging GenAI, aims to revolutionize training for immigration officers by producing adaptive, personalized materials. This approach is designed to improve understanding, decision-making accuracy, and reduce retraining by keeping pace with current policies and laws."
